ID,Address,Latitude,Longtitude
0,"ampang, jalan cahaya 15",3.1449836,101.7594994
1,"ampang, jalan cahaya 15",3.1449836,101.7594994
2,"ampang, jalan dagang 8a",3.1344646,101.7775601
3,"ampang, jalan dagang 10",3.1345373,101.7763681
4,"subang jaya, jalan usj 1/33",3.0489518,101.5997035
5,"subang jaya, jalan usj 1/31",3.0479988,101.5989691
6,"subang jaya, jalan usj 1/33",3.0489518,101.5997035
7,"subang jaya, jalan usj 1/33",3.0489518,101.5997035
8,"subang jaya, jalan usj 1/33",3.0489518,101.5997035
9,"subang jaya, ss 13/3f",3.0695499,101.5953263
10,"subang jaya, jalan ss13/3e",3.068417,101.5982366
11,"subang jaya, jalan ss 13/3b",3.0703478,101.5979657
12,"subang jaya, jalan ss 13/6c",3.0676356,101.5995145
13,"subang jaya, jalan ss 13/6b",3.066329,101.5983729
14,"serendah, jalan sungai choh",3.3522114,101.5815692
15,"semenyih, jalan 1, kawasan perindustrian hi-tech 2",2.9759054,101.8660717
16,"semenyih, jalan 1, kawasan perindustrian hi-tech 2",2.9759054,101.8660717
17,"semenyih, jalan hi-tech 5",2.9905507,101.8671799
18,"semenyih, jalan 1",2.9753623,101.8667409
19,"semenyih, jalan hi-tech 6",2.9909355,101.8659943
20,"semenyih, jalan 1, kawasan perindustrian hi-tech 2",2.9759054,101.8660717
21,"semenyih, jalan 1, kawasan perindustrian hi-tech 2",2.9759054,101.8660717
22,"kajang, jalan perindustrian bj 2t 1/1",3.0133685,101.7433215
23,"kajang, off jalan simpang balak",3.0164511,101.7769009
24,"klang, jalan perusahaan 27",2.9964702,101.4234531
25,"klang, jalan saksama 25/39",3.0365015,101.5344834
26,"klang, jalan unggul 25/40",3.0351079,101.5351891
27,"selayang, jalan su 23",3.2379503,101.6406231
28,"petaling jaya, ss8/4",3.0883247,101.6103232
29,"petaling jaya, ss8/6",3.0904889,101.6078927
30,"shah alam, jalan sp 4/1",3.1481476,101.543575
31,"shah alam, jalan tpp 5/5",3.0303477,101.6020876
32,"rawang, jalan bj 6",3.3072958,101.555938
33,"rawang, jalan bj 7",3.333367,101.582768
34,"rawang, jalan bj 5",3.3063681,101.5565338
35,"rawang, jalan bj7",3.307376,101.5557386
36,"rawang, jalan bj7",3.307376,101.5557386
37,"rawang, & aiÅLaiÅL, jalan bj 2",3.3089609,101.5550309
38,"rawang, jalan bj 5",3.3063681,101.5565338
39,"rawang, jalan bj 5",3.3063681,101.5565338
40,"rawang, jalan bj 6",3.3072958,101.555938
41,"rawang, jalan bj 7",3.333367,101.582768
42,"rawang, jalan 3",3.3028238,101.5921994
43,"rawang, jalan 3",3.3028238,101.5921994
44,"rawang, jalan 4",3.3040763,101.5890043
45,"rawang, jalan 4",3.3040763,101.5890043
46,"rawang, jalan",3.2088403,101.477114
47,"rawang, jalan 4",3.3040763,101.5890043
48,"rawang, jalan 4",3.3040763,101.5890043
49,"rawang, jalan 5",3.3056918,101.5766523
50,"rawang, jalan 4",3.3040763,101.5890043
51,"rawang, jalan empat",3.3068125,101.5876797
52,"rawang, jalan industri 2/1",3.302478,101.5566381
53,"rawang, jalan 3/6",3.3386432,101.5809686
54,"rawang, jalan perindustrian hijau 4",3.3339705,101.5765974
55,"rawang, jalan seri hijau 6",3.3288947,101.5760049
56,"rawang, jalan perindustrian hijau 4",3.3339705,101.5765974
57,"rawang, jalan perindustrian hijau 2",3.333833,101.575276
58,"rawang, jalan perindustrian hijau 2",3.333833,101.575276
59,"rawang, jalan perindustrian hijau 2",3.333833,101.575276
60,"rawang, jalan velox 2",3.3168173,101.5218958
61,"rawang, jalan velox 2",3.3168173,101.5218958
62,"rawang, jalan velox 2",3.3168173,101.5218958
63,"rawang, jalan velox 1 rawang",3.316843,101.52131
64,"rawang, jalan velox 1 rawang",3.316843,101.52131
65,"rawang, jalan velox 2",3.3168173,101.5218958
66,"rawang, jalan velox 1",3.316843,101.52131
