City,SubArea,Date,Address,BuildingType,LandArea,BuiltUp,PricePsf,Price
ampang,taman-cahaya,25/01/2017,"✕, JALAN CAHAYA 15",TERRACE FACTORY - END LOT,"6,488 ft²","10,373 ft²",432,"2,800,000"
ampang,taman-cahaya,06/07/2015,"✕, JALAN CAHAYA 15",TERRACE FACTORY,"2,800 ft²","10,373 ft²",429,"1,200,000"
ampang,taman-cahaya,,,,,,,
ampang,taman-dagang-jaya,14/12/2016,"✕✕, JALAN DAGANG 8A",TERRACE FACTORY - INTERMEDIATE,"1,916 ft²","5,466 ft²",679,"1,300,000"
ampang,taman-dagang-jaya,20/10/2015,"✕✕, JALAN DAGANG 10",TERRACE FACTORY - INTERMEDIATE,"1,916 ft²","5,466 ft²",611,"1,170,000"
ampang,taman-dagang-jaya,,,,,,,
subang-jaya,ss-13,17/06/2016,"✕, SS 13/3F",DETACHED FACTORY,"12,021 ft²","4,639 ft²",83,"1,000,000"
subang-jaya,ss-13,16/05/2016,"✕, JALAN SS 13/5",DETACHED FACTORY,,"30,799 ft²",243,"20,000,000"
subang-jaya,ss-13,29/09/2015,"✕✕. ✕, JALAN SS13/3E",DETACHED FACTORY,"9,899 ft²","1,885 ft²",424,"4,200,000"
subang-jaya,ss-13,04/08/2015,"✕, JALAN SS 13/3B",DETACHED FACTORY,"10,006 ft²","1,917 ft²",400,"4,000,000"
subang-jaya,ss-13,02/03/2015,"✕, JALAN SS 13/6C",DETACHED FACTORY,"12,045 ft²","1,917 ft²",282,"3,400,000"
subang-jaya,ss-13,09/01/2014,"✕, JALAN SS 13/6B",DETACHED FACTORY,"11,300 ft²","1,917 ft²",310,"3,500,000"
subang-jaya,ss-13,,,,,,,
serendah,sungai-choh-auto-city,02/06/2017,"✕✕. ✕✕✕✕ ✕, JALAN SUNGAI CHOH",TERRACE FACTORY - INTERMEDIATE,"1,575 ft²","4,431 ft²","1,050","1,653,750"
serendah,sungai-choh-auto-city,,,,,,,
serendah,bukit-beruntung,09/06/2015,"✕, JALAN KENANGA 6",OTHERS - WORKSHOP,940,"3,006,000","
							",
serendah,bukit-beruntung,,,,,,,
semenyih,kawasan-perindustrian-hi-tech-2,05/10/2016,"✕, JALAN 1, KAWASAN PERINDUSTRIAN HI-TECH 2",SEMI-D FACTORY,"20,040 ft²","6,076 ft²",130,"2,600,000"
semenyih,kawasan-perindustrian-hi-tech-2,15/07/2016,"✕✕.✕✕, JALAN 1, KAWASAN PERINDUSTRIAN HI-TECH 2",SEMI-D FACTORY,"17,044 ft²","6,076 ft²",135,"2,300,000"
semenyih,kawasan-perindustrian-hi-tech-2,17/08/2015,"✕, JALAN HI-TECH 5",SEMI-D FACTORY,"13,245 ft²","4,501 ft²",181,"2,400,000"
semenyih,kawasan-perindustrian-hi-tech-2,20/11/2014,"✕✕ ✕, JALAN 1",SEMI-D FACTORY,"26,535 ft²","4,844 ft²",103,"2,726,000"
semenyih,kawasan-perindustrian-hi-tech-2,15/09/2014,"✕✕, JALAN 1",DETACHED FACTORY,,"19,513 ft²",116,"5,380,000"
semenyih,kawasan-perindustrian-hi-tech-2,12/06/2014,"✕, JALAN 1",DETACHED FACTORY,,"22,371 ft²",83,"4,900,000"
