City,Year,CityAddress,BuildingType,LandArea,PricePsf
ampang,2017,"ampang, jalan cahaya 15",TERRACE FACTORY - END LOT,"6,488",432
ampang,2015,"ampang, jalan cahaya 15",TERRACE FACTORY,"2,800",429
ampang,2016,"ampang, jalan dagang 8a",TERRACE FACTORY - INTERMEDIATE,"1,916",679
ampang,2015,"ampang, jalan dagang 10",TERRACE FACTORY - INTERMEDIATE,"1,916",611
subang jaya,2017,"subang jaya, jalan usj 1/33",TERRACE FACTORY,"2,000",400
subang jaya,2017,"subang jaya, jalan usj 1/31",TERRACE FACTORY,"2,000",975
subang jaya,2015,"subang jaya, jalan usj 1/33",TERRACE FACTORY,"2,000",550
subang jaya,2014,"subang jaya, jalan usj 1/33",TERRACE FACTORY - CORNER LOT,"3,087",389
subang jaya,2013,"subang jaya, jalan usj 1/33",TERRACE FACTORY - INTERMEDIATE,"2,000",550
subang jaya,2016,"subang jaya, ss 13/3f",DETACHED FACTORY,"12,021",83
subang jaya,2015,"subang jaya, jalan ss13/3e",DETACHED FACTORY,"9,899",424
subang jaya,2015,"subang jaya, jalan ss 13/3b",DETACHED FACTORY,"10,006",400
subang jaya,2015,"subang jaya, jalan ss 13/6c",DETACHED FACTORY,"12,045",282
subang jaya,2014,"subang jaya, jalan ss 13/6b",DETACHED FACTORY,"11,300",310
serendah,2017,"serendah, jalan sungai choh",TERRACE FACTORY - INTERMEDIATE,"1,575","1,050"
semenyih,2016,"semenyih, jalan 1, kawasan perindustrian hi-tech 2",SEMI-D FACTORY,"20,040",130
semenyih,2016,"semenyih, jalan 1, kawasan perindustrian hi-tech 2",SEMI-D FACTORY,"17,044",135
semenyih,2015,"semenyih, jalan hi-tech 5",SEMI-D FACTORY,"13,245",181
semenyih,2014,"semenyih, jalan 1",SEMI-D FACTORY,"26,535",103
semenyih,2013,"semenyih, jalan hi-tech 6",SEMI-D FACTORY,"14,800",137
semenyih,2013,"semenyih, jalan 1, kawasan perindustrian hi-tech 2",SEMI-D FACTORY,"17,044",153
semenyih,2013,"semenyih, jalan 1, kawasan perindustrian hi-tech 2",SEMI-D FACTORY,"17,047",153
kajang,2016,"kajang, jalan perindustrian bj 2t 1/1",SEMI-D FACTORY,"15,866",233
kajang,2015,"kajang, off jalan simpang balak",SEMI-D FACTORY,"19,440",267
klang,2017,"klang, jalan perusahaan 27",DETACHED FACTORY,"21,257",179
klang,2014,"klang, jalan saksama 25/39",TERRACE FACTORY - INTERMEDIATE,"2,700",407
klang,2013,"klang, jalan unggul 25/40",TERRACE FACTORY - INTERMEDIATE,"2,700",296
selayang,2016,"selayang, jalan su 23",TERRACE FACTORY - INTERMEDIATE,"2,164",592
petaling jaya,2015,"petaling jaya, ss8/4",SEMI-D FACTORY,"38,309",286
petaling jaya,2013,"petaling jaya, ss8/6",SEMI-D FACTORY,"38,226",267
shah alam,2013,"shah alam, jalan sp 4/1",TERRACE FACTORY,"2,080",135
